"1039976761","Sâm dừa"
"1241518861","Khu 3, Cần Thơ University"
"1778054538","cafe Nhã Quỳnh"
"1780019028","TT điện tử tin học - ĐH Cần Thơ"
"1780019032","Việt Á"
"1780019035","TPT cần thơ"
"1780019045","Sở Công Thương"
"1780019046","Saigon bank"
"1780019047","Thư viện"
"1780019048","Bảo Minh Tower"
"1780019052","Phòng tài nguyên và môi trường"
"1780019527","SEABANK"
"1780019543","Ngân hàng TMCP SaiGon"
"1780021180","nhà thuốc Trung Sơn"
"1797789394","Cty mô hình Tinh Anh"
"1924752198","Bánh Bèo Lê Lai"
"1924752395","Rửa xe"
"1924760081","cơm gà Cẩm Ký"
"1930020914","Ca Dao"
"2322892083","Thanh Huong hotel"
"3867250435","gat gu"
"4510185390","Ma famille Cafeteria"
"4564545995","Hai Dang Mekong"
"4564778693","Zest"
"4597388989","Nhà Hàng Chay Bach Thao"
"4599375290","Pho Thien"
"4786265721","Di hai suong sa"
"5082847305","Tiny Corner Cafe"
"5199300157","BumBum Hostel"
"5211499616","CONG TY CO PHAN DAU TU BAT DONG SAN"
"5211499619","Ninh Kieu Spa"
"5211500021","NGAN HANG NN VA PTNT VIET NAM"
"5211500024","Hai Trieu"
"5211512490","Công Viên Lưu Hữu Phước"
"5211512494","Quách Xuyên"
"5211512495","Cà Phê Xưa"
"5211512500","Trung tâm y tế dự phòng Ninh Kiều"
"5253410041","quán nhậu Thành Giao"
"5253652532","Sâm dừa Nhà thiếu nhi"
"5253656271","Hạnh Quỳnh"
"5253656272","Kami Spa"
"5253656273","Lê Văn Minh"
"5253656274","Ngô Văn Truyền"
"5253656275","Bảo Trân"
"5253656276","Trạm Y Tế An Phú"
"5253656277","Trung Sơn"
"5253656278","Nguyễn Thị Bạch Huệ"
"5253656279","Võ Quốc Toàn-Võ Thị Đan Thanh"
"5253656280","Huyền Mỹ"
"5253685277","Trạm xe buýt trước Trường tiểu học Lê Quý Đôn"
"5261415329","English school"
"5655327622","Victory Coffee & Hostel"
"6205627885","quán ăn Thành Giao"
"6278262090","Com chay"
"6447925217","Quán trà sữa Thái 186"
"6447936056","Cafe Kim Dung"
"6447939182","Bò Beefsteak Chung Cư 2"
"6467959091","sâm dừa Nhà thiếu nhi"
"6543876651","Bún chả dày Nguyệt"
"6543876652","Bánh Cống Cô Út Nguyễn Trãi"
"6543876653","Gà tiềm thuốc bắc Đông (Herbal silkie chicken soup)"
"6543929800","Bia Lạnh 74"
"6543929801","Cà Phê Cát Tường 1"
"6543929802","Giò Chả 69"
"6543952277","Quán Bún Mắm Huê Viên"
"6543952278","Miến, Bún Riêu cô 2"
"6543952279","Quán ăn Sáu Phương"
"6543958550","Honda Tỷ"
"6543958551","Resto Restaurant"
"6543958552","Nhà Thuốc Minh Tuyền"
"6543961456","Bánh Tét Như Ý - Chú Dũng"
"6543961457","Quán Nhậu Hùng Lệ"
"6543961462","Quyen’s House"
"6543961463","Chang's Hostel"
"6543961464","Kem Tràng Tiền Hà Nội Icool"
"6813546218","An Phước"
"6932072885","SKF Quang Minh"
"6932082485","SKF QuangMinh"
"7084034886","Adora Central Park Hostel"
"7104059086","Circle K"
