"946524799","Tan Phuoc 5"
"948325197","Cần Thơ"
"948325211","Kim Thơ"
"948325249","Hoa Cau"
"951963062","Ngân hàng Phát Triển Việt Nam"
"951963114","Ngân hàng Phát Triển Việt Nam"
"951963225","Canthotourist"
"951963412","Ho Chi Minh statue"
"1041864064","Ngân hàng Phát Triển Việt Nam"
"1043717621","Ngân hàng Phát Triển Việt Nam"
"1043956939","Ngân hàng Phát Triển Việt Nam"
"1043957095","Ninh kieu Mobile"
"1043957297","Ngân hàng Phát Triển Việt Nam"
"1043957434","Ninh Kiều 2"
"1043957654","Ngân hàng Phát Triển Việt Nam"
"1778800787","Khách Sạn Ngân Hà"
"1778802352","nhà hàng Long Phụng"
"1778802986","Ngân hàng Phát Triển Việt Nam"
"1778803108","chùa Hưng Định"
"1778808140","Ngân hàng Ngoại Thương Việt Nam"
"1778886495","Senior Coffee"
"1778886592","Nhà sách Phương Nam"
"1797775258","RIO Club"
"1924771927","chùa Ông"
"1930000727","Le Club 8"
"2598517869","Café Ngọc"
"2598517892","Viva"
"3482849197","Phuong Nam"
"3649880922","La Baguette"
"3707968626","Mekong Inn"
"4349830892","Ks 16"
"4374993693","khám lớn Cần Thơ"
"4561364891","The English Cafe"
"5250290324","She's Tea"
"5250302622","Café Co Ba"
"5251604549","PNJ"
"5251604550","Ngân hàng Phát Triển Việt Nam"
"5251604551","Massage Xuân Mai"
"5251604553","Massages Vườn Mai"
"5251604554","UBND Phường Tân An"
"5251612802","Sở GTVT TPCT"
"5251612803","Ban QLDA đầu tư xd TPCT"
"5251612805","Sở Nông nghiệp và PTNT"
"5251612806","Hội hữu nghị"
"5253394651","Sở Xây dựng thành phố Cần Thơ"
"5253612423","THPT Châu Văn Liêm"
"5253632065","Trạm xe bus"
"5253632066","Trạm xe bus"
"5253678442","Sence City"
"5253685286","Trạm xe buýt gần Mobifone"
"5256955607","Cafe Bưu Điện"
"5261381553","Trường Trung Học Giao Thông Vận Tải Miền Nam"
"5261400454","Nhà sách FAHASA Hòa Bình"
"5261415326","Trung tâm anh ngữ quốc tế Gogo"
"5262128958","Phượng Hồng"
"5270021221","Baskin&Robin"
"5311296925","Bảo tàng thành phố"
"5311341324","Ngân hàng Đại Dương"
"5342181921","Hội đồng nhân dân tp Cần Thơ"
"5442006923","Enjoy Mekong Hostel"
"5457693221","BÚN ĐUÔI BÒ, BÚN GIÒ. NGUYÊH HƯNG"
"5481540821","Văn phòng công chứng Lê Cẩm Lành"
"5576597721","Nhà may Nho"
"5595948426","Hoa huóng duong"
"5608878212","PNJ"
"5611338922","Kem Tu Chon"
"5744397026","Hong Van Com"
"6278214586","Tarot Museum"
"6380179287","Mekong Smile Tours"
"6447971719","Bún Riêu Cua - Bún Ốc Phương Minh"
"6447977274","Shop Quà Tặng Mèo Con"
"6543858865","Cacao Tươi"
"6543858866","Shop Bia & Vang - Beer & Wine Can Tho"
"6543858867","Quán Cà Phê Hồng"
"6543858868","Cà Phê Sành Điệu"
"6543858869","Khách sạn Caravelle Cần Thơ"
"6543858870","Mì Xào Giòn Tư Cao"
"6543870311","Cửa Hàng Phụ Liệu Tóc Đức Phong"
"6543870312","Khói Coffee and Tea"
"6543870313","Quán Mì Vịt Tiềm Hậu Phát"
"6543870314","Nguyên Chất Coffe"
"6543883130","International Hotel"
"6543886693","Khách sạn Hồng Phát"
"6543886694","Nhà Khách Số 10"
"6543905528","Cà Phê Trà Bốn Mùa"
"6546331346","Quán Bạch Tuột Nướng Số 1"
"6546331347","Cafe 16 Trương Định"
"6546347123","Quán Cơm Chay Cô Năm"
"6546349408","Cửa Hàng Tạp Hoá Tuyết Lan"
"6711879790","Marche Ong"
"7149121520","Agribank"
